epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
1,0.648368,0.634583,0.489087,0.000000,0.000000,0.000000
2,0.629480,0.603890,0.543965,0.000000,0.000000,0.000000
3,0.603724,0.570123,0.618501,0.000000,0.000000,0.000000
4,0.600445,0.552738,0.643374,0.000000,0.000000,0.000000
5,0.585765,0.546213,0.653647,0.000000,0.000000,0.000000
6,0.575439,0.543003,0.661145,0.000000,0.000000,0.000000
7,0.562867,0.539238,0.668523,0.000000,0.000000,0.000000
8,0.552181,0.535923,0.675175,0.001889,0.001889,0.001889
9,0.543391,0.534204,0.680807,0.007533,0.007533,0.007533
10,0.532816,0.530464,0.686283,0.016760,0.016760,0.016760
11,0.525397,0.528930,0.691021,0.022263,0.022263,0.022263
12,0.519218,0.525817,0.695472,0.038251,0.038251,0.038251
13,0.512157,0.523528,0.699902,0.043282,0.043282,0.043282
14,0.500180,0.522077,0.704038,0.046805,0.046805,0.046805
15,0.496515,0.518956,0.707840,0.099044,0.099044,0.099044
16,0.489392,0.517650,0.711546,0.092334,0.092334,0.092334
17,0.482064,0.515237,0.715274,0.127334,0.127334,0.127334
18,0.476836,0.513428,0.719171,0.135021,0.135021,0.135021
19,0.471270,0.511617,0.722634,0.137469,0.137469,0.137469
20,0.467383,0.509297,0.725951,0.165303,0.165303,0.165303
21,0.459212,0.508556,0.729301,0.148705,0.148705,0.148705
22,0.452364,0.505663,0.732447,0.177850,0.177850,0.177850
23,0.448024,0.504207,0.735758,0.172078,0.172078,0.172078
24,0.443361,0.501939,0.739073,0.190552,0.190552,0.190552
25,0.436193,0.500269,0.742154,0.195704,0.195704,0.195704
26,0.430035,0.498759,0.745086,0.199521,0.199521,0.199521
27,0.425702,0.496290,0.747934,0.235654,0.235654,0.235654
28,0.420696,0.495093,0.750832,0.214342,0.214342,0.214342
29,0.415238,0.492803,0.753524,0.243717,0.243717,0.243717
30,0.408917,0.491464,0.756121,0.242704,0.242704,0.242704
31,0.402041,0.489383,0.759073,0.254327,0.254327,0.254327
32,0.399636,0.488015,0.761357,0.257336,0.257336,0.257336
33,0.394265,0.487114,0.763264,0.255673,0.255673,0.255673
34,0.388908,0.484632,0.765331,0.284672,0.284672,0.284672
35,0.383764,0.483950,0.766904,0.275811,0.275811,0.275811
36,0.379678,0.482602,0.769481,0.271715,0.271715,0.271715
37,0.375942,0.480653,0.771395,0.291971,0.291971,0.291971
38,0.369416,0.479892,0.773067,0.280882,0.280882,0.280882
39,0.365594,0.478051,0.774321,0.312097,0.312097,0.312097
40,0.360428,0.477815,0.775722,0.300435,0.300435,0.300435
41,0.355727,0.475783,0.777363,0.319149,0.319149,0.319149
42,0.349401,0.476789,0.778913,0.292612,0.292612,0.292612
43,0.344287,0.473296,0.780232,0.335430,0.335430,0.335430
44,0.339861,0.473159,0.781552,0.316986,0.316986,0.316986
45,0.336028,0.472612,0.782159,0.334505,0.334505,0.334505
46,0.330728,0.470950,0.783596,0.344444,0.344444,0.344444
47,0.325585,0.470600,0.784751,0.341463,0.341463,0.341463
48,0.322169,0.469803,0.785986,0.346074,0.346074,0.346074
49,0.318797,0.468792,0.786748,0.353994,0.353994,0.353994
50,0.314127,0.468689,0.788006,0.341702,0.341702,0.341702
51,0.307581,0.467920,0.788546,0.348789,0.348789,0.348789
52,0.303296,0.467398,0.789533,0.356108,0.356108,0.356108
53,0.299364,0.466233,0.790153,0.369565,0.369565,0.369565
54,0.294458,0.466303,0.791197,0.359010,0.359010,0.359010
55,0.288158,0.465466,0.791407,0.370169,0.370169,0.370169
56,0.286158,0.465168,0.792545,0.366735,0.366735,0.366735
57,0.279455,0.464022,0.792999,0.382865,0.382865,0.382865
58,0.277028,0.464884,0.793678,0.370672,0.370672,0.370672
59,0.273020,0.464806,0.794160,0.366485,0.366485,0.366485
60,0.268790,0.463138,0.794528,0.387226,0.387226,0.387226
61,0.263988,0.464419,0.795436,0.367847,0.367847,0.367847
62,0.259646,0.462290,0.796107,0.382865,0.382865,0.382865
63,0.255228,0.463035,0.796183,0.385333,0.385333,0.385333
64,0.251097,0.462999,0.797124,0.380632,0.380632,0.380632
65,0.247110,0.461428,0.797375,0.400263,0.400263,0.400263
66,0.242445,0.463674,0.798046,0.368457,0.368457,0.368457
67,0.239324,0.461195,0.798167,0.401311,0.401311,0.401311
68,0.234764,0.461922,0.798938,0.388518,0.388518,0.388518
69,0.228976,0.460908,0.799119,0.404715,0.404715,0.404715
70,0.226758,0.462082,0.799644,0.386106,0.386106,0.386106
71,0.223012,0.461232,0.799867,0.403682,0.403682,0.403682
72,0.219606,0.461840,0.800480,0.395488,0.395488,0.395488
73,0.215962,0.460932,0.800956,0.405512,0.405512,0.405512
74,0.209966,0.460896,0.801025,0.408883,0.408883,0.408883
75,0.207554,0.460955,0.801209,0.409922,0.409922,0.409922
76,0.202771,0.459690,0.801895,0.418123,0.418123,0.418123
77,0.199739,0.460414,0.802054,0.414776,0.414776,0.414776
78,0.196037,0.461329,0.802048,0.416342,0.416342,0.416342
79,0.193913,0.463769,0.802526,0.401590,0.401590,0.401590
80,0.188089,0.459265,0.802834,0.430848,0.430848,0.430848
81,0.184803,0.461995,0.803386,0.406045,0.406045,0.406045
82,0.180101,0.459311,0.803590,0.430025,0.430025,0.430025
83,0.176461,0.463308,0.803477,0.410492,0.410492,0.410492
84,0.174483,0.463364,0.803875,0.408404,0.408404,0.408404
