epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
1,0.945109,0.698647,0.425658,0.302521,0.302521,0.302521
2,0.760406,0.638747,0.453117,0.000000,0.000000,0.000000
3,0.656827,0.577285,0.539610,0.000000,0.000000,0.000000
4,0.627500,0.558071,0.616524,0.000000,0.000000,0.000000
5,0.621206,0.548425,0.648920,0.000000,0.000000,0.000000
6,0.599628,0.541405,0.664000,0.001848,0.001848,0.001848
7,0.584188,0.536372,0.674661,0.003693,0.003693,0.003693
8,0.573012,0.532838,0.683435,0.005530,0.005530,0.005530
9,0.566022,0.528673,0.690437,0.016468,0.016468,0.016468
10,0.551451,0.525202,0.695982,0.035939,0.035939,0.035939
11,0.539668,0.522350,0.700750,0.056487,0.056487,0.056487
12,0.528996,0.519640,0.705439,0.083117,0.083117,0.083117
13,0.520514,0.517138,0.709970,0.095890,0.095890,0.095890
14,0.516582,0.514719,0.714393,0.115772,0.115772,0.115772
15,0.507384,0.512239,0.718785,0.136289,0.136289,0.136289
16,0.498972,0.509867,0.723113,0.166267,0.166267,0.166267
17,0.488678,0.508081,0.726912,0.145544,0.145544,0.145544
18,0.483357,0.505836,0.730725,0.165196,0.165196,0.165196
19,0.478786,0.503421,0.734544,0.202943,0.202943,0.202943
20,0.471700,0.501514,0.737751,0.207270,0.207270,0.207270
21,0.463300,0.499504,0.741014,0.243061,0.243061,0.243061
22,0.457796,0.497660,0.744168,0.221882,0.221882,0.221882
23,0.452630,0.495837,0.746975,0.242105,0.242105,0.242105
24,0.446371,0.493848,0.749903,0.252600,0.252600,0.252600
25,0.441558,0.491645,0.753010,0.274395,0.274395,0.274395
26,0.436060,0.489903,0.755813,0.286129,0.286129,0.286129
27,0.428990,0.488074,0.758152,0.293525,0.293525,0.293525
28,0.424887,0.486435,0.760535,0.299065,0.299065,0.299065
29,0.418381,0.484429,0.763260,0.328421,0.328421,0.328421
30,0.414878,0.482830,0.765598,0.326041,0.326041,0.326041
31,0.408965,0.481556,0.767534,0.324666,0.324666,0.324666
32,0.403801,0.479892,0.769467,0.340690,0.340690,0.340690
33,0.398726,0.478718,0.771285,0.332170,0.332170,0.332170
34,0.394271,0.476956,0.772951,0.349966,0.349966,0.349966
35,0.390261,0.475779,0.774418,0.353419,0.353419,0.353419
36,0.386203,0.475395,0.775971,0.343490,0.343490,0.343490
37,0.380492,0.473520,0.777604,0.356757,0.356757,0.356757
38,0.376789,0.471936,0.779221,0.374253,0.374253,0.374253
39,0.373992,0.471641,0.780351,0.362778,0.362778,0.362778
40,0.367706,0.470510,0.781612,0.363271,0.363271,0.363271
41,0.364080,0.468930,0.783186,0.380827,0.380827,0.380827
42,0.358651,0.468136,0.784072,0.383257,0.383257,0.383257
43,0.354020,0.467367,0.785321,0.379697,0.379697,0.379697
44,0.351305,0.466674,0.786316,0.377483,0.377483,0.377483
45,0.346304,0.465450,0.787732,0.383812,0.383812,0.383812
46,0.341796,0.464901,0.788668,0.376735,0.376735,0.376735
47,0.337928,0.464505,0.789041,0.382199,0.382199,0.382199
48,0.335155,0.463907,0.790471,0.375910,0.375910,0.375910
49,0.328322,0.462618,0.791520,0.383812,0.383812,0.383812
50,0.326026,0.462440,0.791733,0.388312,0.388312,0.388312
51,0.321493,0.461170,0.792962,0.394855,0.394855,0.394855
52,0.316960,0.461327,0.793311,0.385714,0.385714,0.385714
53,0.311908,0.459710,0.794434,0.400761,0.400761,0.400761
54,0.309239,0.459906,0.794721,0.394114,0.394114,0.394114
55,0.304469,0.458973,0.795474,0.400253,0.400253,0.400253
56,0.302941,0.459222,0.796097,0.395379,0.395379,0.395379
57,0.296971,0.457868,0.796912,0.404777,0.404777,0.404777
58,0.293039,0.457723,0.797408,0.402532,0.402532,0.402532
59,0.290739,0.457237,0.798092,0.403287,0.403287,0.403287
60,0.285562,0.456976,0.798688,0.401270,0.401270,0.401270
61,0.281138,0.455857,0.798997,0.428310,0.428310,0.428310
62,0.277606,0.456468,0.799681,0.402540,0.402540,0.402540
63,0.273996,0.455869,0.799971,0.409291,0.409291,0.409291
64,0.271806,0.456918,0.799988,0.403576,0.403576,0.403576
65,0.265734,0.454960,0.800704,0.418114,0.418114,0.418114
66,0.262539,0.455375,0.800895,0.415000,0.415000,0.415000
