epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
50,0.334216,0.465838,0.786999,0.417891,0.417891,0.417891
51,0.329776,0.465172,0.787737,0.425667,0.425667,0.425667
52,0.323700,0.464284,0.788770,0.434728,0.434728,0.434728
53,0.321346,0.463875,0.789939,0.420985,0.420985,0.420985
54,0.317981,0.463390,0.789932,0.433522,0.433522,0.433522
55,0.314463,0.462550,0.791077,0.436637,0.436637,0.436637
56,0.309444,0.462235,0.791273,0.439299,0.439299,0.439299
57,0.305334,0.461217,0.792381,0.445813,0.445813,0.445813
58,0.300811,0.461180,0.792565,0.440699,0.440699,0.440699
59,0.297827,0.460276,0.793490,0.444308,0.444308,0.444308
60,0.295401,0.460262,0.794111,0.440551,0.440551,0.440551
61,0.292452,0.459624,0.795453,0.433522,0.433522,0.433522
62,0.287663,0.459473,0.794525,0.447449,0.447449,0.447449
63,0.283146,0.458926,0.796008,0.438442,0.438442,0.438442
64,0.281205,0.458005,0.796459,0.452991,0.452991,0.452991
65,0.276363,0.458254,0.797078,0.444030,0.444030,0.444030
66,0.273746,0.457713,0.796828,0.450704,0.450704,0.450704
67,0.269727,0.456922,0.798088,0.454047,0.454047,0.454047
68,0.265511,0.457547,0.798735,0.443473,0.443473,0.443473
69,0.261347,0.456540,0.798224,0.462190,0.462190,0.462190
70,0.260007,0.455873,0.800035,0.452366,0.452366,0.452366
71,0.253637,0.456391,0.799233,0.455882,0.455882,0.455882
72,0.250784,0.456051,0.800341,0.449257,0.449257,0.449257
73,0.247499,0.455383,0.800683,0.454100,0.454100,0.454100
74,0.244270,0.455560,0.801044,0.452761,0.452761,0.452761
75,0.239805,0.455291,0.801097,0.457875,0.457875,0.457875
76,0.236529,0.454491,0.801961,0.462190,0.462190,0.462190
77,0.231885,0.455053,0.802143,0.452206,0.452206,0.452206
78,0.229701,0.454118,0.802864,0.460423,0.460423,0.460423
79,0.227387,0.454210,0.802445,0.467780,0.467780,0.467780
80,0.223545,0.454421,0.803070,0.453545,0.453545,0.453545
81,0.218938,0.453871,0.803073,0.465672,0.465672,0.465672
82,0.216787,0.454294,0.803240,0.465786,0.465786,0.465786
83,0.213075,0.453723,0.804493,0.459854,0.459854,0.459854
84,0.209603,0.453733,0.803953,0.469400,0.469400,0.469400
85,0.205276,0.454439,0.804905,0.454378,0.454378,0.454378
86,0.202195,0.453858,0.803791,0.473810,0.473810,0.473810
87,0.199519,0.453350,0.805742,0.459116,0.459116,0.459116
88,0.195972,0.454338,0.805075,0.459196,0.459196,0.459196
89,0.192771,0.453557,0.805365,0.471429,0.471429,0.471429
90,0.190913,0.453636,0.805971,0.465060,0.465060,0.465060
91,0.186997,0.453409,0.805754,0.473591,0.473591,0.473591
92,0.183709,0.454138,0.805988,0.463664,0.463664,0.463664
93,0.180091,0.453374,0.806643,0.471709,0.471709,0.471709
94,0.176867,0.454113,0.806728,0.467188,0.467188,0.467188
95,0.173914,0.453907,0.807510,0.462281,0.462281,0.462281
96,0.171978,0.453715,0.805955,0.477594,0.477594,0.477594
97,0.167409,0.453212,0.807751,0.473182,0.473182,0.473182
98,0.166427,0.453294,0.806978,0.483363,0.483363,0.483363
99,0.161745,0.455678,0.808728,0.451137,0.451137,0.451137
100,0.159201,0.454366,0.806558,0.488735,0.488735,0.488735
