epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
1,1.410231,0.800842,0.445968,0.409971,0.409971,0.409971
2,1.062103,0.736600,0.447465,0.404214,0.404214,0.404214
3,0.809934,0.643844,0.492559,0.014273,0.014273,0.014273
4,0.673991,0.571552,0.574634,0.000000,0.000000,0.000000
5,0.623015,0.560222,0.624336,0.000000,0.000000,0.000000
6,0.605396,0.553357,0.643142,0.000000,0.000000,0.000000
7,0.589857,0.543894,0.653387,0.012927,0.012927,0.012927
8,0.568958,0.539725,0.664251,0.021918,0.021918,0.021918
9,0.562811,0.537400,0.674011,0.027298,0.027298,0.027298
10,0.548319,0.532880,0.681133,0.051327,0.051327,0.051327
11,0.536514,0.529939,0.686738,0.074588,0.074588,0.074588
12,0.530282,0.527356,0.692084,0.089117,0.089117,0.089117
13,0.518970,0.524689,0.697892,0.105085,0.105085,0.105085
14,0.511046,0.521731,0.702705,0.153595,0.153595,0.153595
15,0.503228,0.519114,0.707949,0.173139,0.173139,0.173139
16,0.494264,0.516958,0.711584,0.188142,0.188142,0.188142
17,0.489014,0.514394,0.716276,0.201707,0.201707,0.201707
18,0.482775,0.512177,0.720263,0.205882,0.205882,0.205882
19,0.473789,0.509962,0.724108,0.211420,0.211420,0.211420
20,0.470370,0.507778,0.727752,0.237952,0.237952,0.237952
21,0.463185,0.505651,0.731403,0.242287,0.242287,0.242287
22,0.455754,0.503492,0.734839,0.267450,0.267450,0.267450
23,0.451232,0.501323,0.738090,0.283224,0.283224,0.283224
24,0.445613,0.499362,0.740781,0.302425,0.302425,0.302425
25,0.441051,0.497292,0.743988,0.298999,0.298999,0.298999
26,0.437044,0.495365,0.746781,0.322807,0.322807,0.322807
27,0.430382,0.493636,0.749284,0.331714,0.331714,0.331714
28,0.426583,0.491444,0.752887,0.342700,0.342700,0.342700
29,0.420377,0.489638,0.755037,0.345628,0.345628,0.345628
30,0.415201,0.487728,0.758045,0.360081,0.360081,0.360081
31,0.410462,0.485984,0.760303,0.355978,0.355978,0.355978
32,0.405187,0.484581,0.761962,0.378235,0.378235,0.378235
33,0.402106,0.482966,0.764258,0.372995,0.372995,0.372995
34,0.397357,0.481612,0.766227,0.381518,0.381518,0.381518
35,0.393692,0.480320,0.767927,0.386080,0.386080,0.386080
36,0.390733,0.479160,0.769483,0.379814,0.379814,0.379814
37,0.384625,0.478048,0.770984,0.378016,0.378016,0.378016
38,0.382887,0.476716,0.772582,0.397899,0.397899,0.397899
39,0.377169,0.475427,0.774455,0.404684,0.404684,0.404684
40,0.371034,0.474278,0.776010,0.403658,0.403658,0.403658
41,0.369275,0.473221,0.777234,0.412678,0.412678,0.412678
42,0.365082,0.472574,0.777759,0.412184,0.412184,0.412184
43,0.360171,0.471119,0.780411,0.411384,0.411384,0.411384
44,0.356263,0.470906,0.779848,0.418782,0.418782,0.418782
45,0.352632,0.469385,0.782426,0.418962,0.418962,0.418962
46,0.347440,0.469264,0.782574,0.408057,0.408057,0.408057
47,0.343037,0.468014,0.783863,0.420918,0.420918,0.420918
48,0.340893,0.467128,0.785533,0.410323,0.410323,0.410323
49,0.335637,0.466596,0.785717,0.423053,0.423053,0.423053
